UNIQUEID,wgs_xF,wgs_yF,PERS106,exp5nrm,exp3nrm,rough_1k,prad_sw_di,etpt_5,mind_yr_av,prec_winte,tave_sprin
Z4904020101580746,-110.8501,39.238056,1,11,13,8.354663849,-6120,93,-1483.166667,13.66666667,82.66666667
Z4904020101581158,-110.139145,38.622198,0,10,2,5.700212479,-6056,95,-1642.333333,9.333333333,113.6666667
Z4904020101581245,-110.264301,38.740204,0,-21,-3,6.68641758,-6070,96,-1680.166667,9,122.3333333
Z4904020101582743,-110.247484,39.388612,1,248,167,90.40500641,-5953,90,-1119.333333,24.33333333,36
Z4904020101583895,-110.885592,38.760495,1,-84,-37,16.92673111,-6109,93,-1479.75,11.33333333,79
Z4904020101587472,-110.826532,39.391208,0,-1,2,4.181959629,-6109,93,-1467.333333,15.66666667,81
Z4904020101587691,-110.422354,39.119574,0,6,2,37.25841522,-6115,94,-1527.083333,10.33333333,96.33333333
Z4904020101588647,-110.425246,38.759129,0,9,2,5.897268772,-6123,95,-1633,8.666666667,115.6666667
Z4904020101588671,-111.172932,38.580181,0,-56,-28,7.886082649,-6061,94,-1591.083333,8.666666667,97.66666667
Z4904020101588747,-110.538289,39.075073,1,119,66,19.49767876,-6112,93,-1437.75,13.33333333,75.33333333
Z4904020101980607,-109.500906,38.931148,0,-8,1,3.388796091,-6093,95,-1534.25,12.66666667,106
Z4904020101981974,-110.075321,39.117332,0,138,85,88.7707901,-6123,94,-1505.166667,11.33333333,98.66666667
Z4904020101982176,-109.96295,38.891109,0,-10,-3,3.896437168,-6092,95,-1616.416667,10.33333333,115.3333333
Z4904020101983842,-109.780738,39.429937,1,0,16,46.88341522,-6060,90,-1102.333333,23.33333333,40.66666667
Z4904020101984643,-109.79231,38.754301,0,-1,11,9.266535759,-6072,95,-1603.166667,11.33333333,113.3333333
Z4904020101987160,-109.221776,38.566761,0,200,118,113.3445816,-6212,80,-701.5833333,44,6.666666667
Z4904020101988263,-110.07766,38.937129,0,3,8,5.148305416,-6066,96,-1636.666667,10,117.3333333
Z4904020103780526,-110.491922,37.452594,0,-5,0,16.59218216,-6073,95,-1706.25,14.33333333,126.3333333
Z4904020103780980,-109.44496,37.236151,0,60,54,11.87537956,-5940,96,-1657.75,19,116.6666667
Z4904020103781173,-109.144455,37.078596,0,85,94,19.61882019,-5947,95,-1622,19,109.6666667
Z4904020103781592,-109.135906,37.39304,0,20,14,7.941096306,-5970,95,-1593.666667,22.33333333,108.6666667
Z4904020103782507,-109.412324,37.713412,1,19,10,12.91655827,-5926,93,-1389.416667,28,72.66666667
Z4904020103784129,-109.867395,37.628533,1,196,170,53.81134033,-5964,90,-1089.916667,34.33333333,41.33333333
Z4904020103784473,-109.865291,37.763715,1,-64,-41,48.23140335,-6052,92,-1340.833333,24.66666667,68
Z4904020103785426,-109.511289,38.435672,0,55,54,3.988670826,-6093,94,-1484.75,13.33333333,96
Z4904020103785822,-109.425598,37.082667,0,10,16,8.069615364,-5952,96,-1652.666667,17.66666667,114.6666667
Z4904020103786169,-109.40163,38.208927,0,-17,0,3.241321087,-6058,94,-1457.25,17.33333333,88.66666667
Z4904020103786484,-109.859814,38.12415,1,110,120,32.09137726,-6037,94,-1531.166667,12.66666667,95
Z4904020103786626,-109.874865,37.132855,0,-35,-6,10.74283409,-5963,96,-1725.833333,13,125.6666667
Z4904020103787327,-110.041987,37.269524,1,100,126,87.91783142,-5694,96,-1692.916667,17.33333333,104
Z4904020103787588,-109.683857,38.392662,0,109,32,119.6010208,-5887,95,-1591.5,11,103
Z4904020103788401,-109.404654,38.074051,1,98,103,30.43999672,-6029,93,-1384.833333,22.33333333,72.66666667
Z4904020103789102,-110.325562,37.091205,0,66,72,27.31266594,-5853,96,-1730.416667,13.66666667,118.6666667
Z4904020200785664,-110.242947,39.659122,1,25,44,34.84564972,-6198,86,-984.5,27.66666667,23.66666667
Z4904020201580376,-110.213398,39.181406,1,134,102,22.06112671,-6156,92,-1421.75,13.33333333,78
Z4904020201582789,-110.540628,38.71458,0,-48,-37,6.427968979,-6040,95,-1638.166667,8.666666667,108
Z4904020201583234,-111.290237,39.16589,1,-254,-195,17.3757515,-5991,90,-1218.083333,26.33333333,50
Z4904020201583748,-110.3657,38.98411,0,7,13,4.995512962,-6082,95,-1622.75,9.333333333,111.6666667
Z4904020201584445,-111.173257,38.715361,0,-15,-1,5.288638592,-6067,94,-1557.75,9.666666667,93.66666667
Z4904020201584508,-110.828608,38.535122,0,-35,-27,14.52163506,-6017,96,-1676.583333,8,112
Z4904020201585188,-110.072961,39.29753,0,-139,-101,53.03342056,-5991,95,-1534.75,11,104
Z4904020201586532,-110.36849,38.66872,0,37,38,4.892160416,-6118,95,-1624,8.666666667,112.6666667
Z4904020201586797,-111.00072,38.670427,0,-36,-37,91.54284668,-6059,93,-1535.5,9,94.66666667
Z4904020201587487,-111.28928,38.985427,1,44,35,86.59622192,-6128,85,-999.3333333,31.66666667,24.66666667
Z4904020201588613,-110.254941,38.532875,0,-11,-4,4.599637508,-6088,95,-1618.416667,9,108
Z4904020201981315,-109.617988,38.842481,0,-28,-3,3.326902866,-6069,95,-1536.916667,13,106.6666667
